name,ra,dec,Class,significance,Fcsc_s,e_Fcsc_s,Fcsc_m,e_Fcsc_m,Fcsc_h,e_Fcsc_h,var_intra_prob,var_inter_prob,powlaw_gamma_mean,e_powlaw_gamma_mean,MW_MW,p_any,p_i,Gmag,BPmag,RPmag,e_Gmag,e_BPmag,e_RPmag,RPlx,PM,epsi,sepsi,ruwe,rgeo,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,W1mag,W2mag,W3mag,e_W1mag,e_W2mag,e_W3mag
2CXO J182958.2-015805,277.4925803,-1.9680894,YSO,9.223015198655936,5.007232855446852e-16,2.8771137891976533e-16,3.00364454398388e-15,4.880082021075501e-16,8.373827346804301e-15,1.4093972148048e-15,0.86121387611408,,,,cat,0.9996651,1.0,,,,,,,,,,,,,14.424,11.729,10.198,0.036,0.025,0.025,8.984,7.984,5.721,0.013,0.01,0.017
2CXO J182959.4-020106,277.4978049,-2.0184473,YSO,3.818181818181853,9.383643599585011e-17,7.089442579229202e-17,7.978845608028655e-18,6.028102749890869e-18,4.853100332705289e-15,1.3086611024625357e-15,0.9993692052835532,,,,ca,0.9987531,1.0,,,,,,,,,,,,,,,,,,,14.332,11.996,10.384,0.016,0.01,0.166
2CXO J183000.1-015715,277.500434,-1.9542257,YSO,7.554435625688036,7.234073236227333e-16,6.970717421709243e-16,4.4995890765147e-16,1.9881905221809002e-16,1.1236871926115555e-14,1.7408521306486498e-15,0.9999998193436184,,,,cat,0.9970476,1.0,,,,,,,,,,,,,17.118,16.422,14.088,,,0.072,12.353,10.652,7.818,0.014,0.01,0.032
2CXO J183000.5-020211,277.5022724,-2.0364845,YSO,3.257142857142945,7.978845608028655e-18,6.028102749890869e-18,7.978845608028655e-18,6.028102749890869e-18,3.8463725220667e-15,1.2337421297195e-15,0.1580582862810799,,,,t,0.9964079,1.0,,,,,,,,,,,,,18.378,15.764,13.985,,,0.08,,,,,,
2CXO J183000.6-020204,277.5027517,-2.0346753,YSO,3.428571428571392,7.978845608028655e-18,6.028102749890869e-18,1.865034098410252e-16,1.2043390333989644e-16,2.0916756004452837e-15,7.150309692096609e-16,0.932920257701478,,,,t,0.9968771,1.0,,,,,,,,,,,,,18.4,15.792,13.433,,0.185,0.057,,,,,,
2CXO J183001.2-020148,277.5052418,-2.0301099,YSO,2.324324324324337,7.978845608028655e-18,6.028102749890869e-18,7.978845608028655e-18,6.028102749890869e-18,2.466110017740523e-15,1.1396659563128105e-15,0.04988454105632,,,,ca,0.99701154,1.0,,,,,,,,,,,,,,,,,,,10.347,7.315,5.058,0.012,0.009,0.016
2CXO J183003.1-020514,277.5130767,-2.0874588,YSO,10.789610509812672,1.229023308480696e-16,9.396160879302511e-17,3.3322348359343403e-15,5.563095010469505e-16,2.0668339510904e-14,2.421812246973e-15,0.999742708591137,,2.665731809159789,0.4418937158274095,cat,0.9984963,1.0,,,,,,,,,,,,,16.96,14.724,12.663,,0.07,0.032,11.4,10.427,9.147,0.015,0.01,0.128
2CXO J183004.0-020123,277.5169441,-2.0231894,YSO,2.054054054054045,7.978845608028655e-18,6.028102749890869e-18,7.978845608028655e-18,6.028102749890869e-18,1.0224474812486674e-15,5.374225674963512e-16,0.59377388923522,,,,at,0.9978851,1.0,,,,,,,,,,,,,18.273,15.383,13.067,,0.105,0.044,11.305,9.837,8.365,0.025,0.022,0.035
2CXO J183004.4-020415,277.5185506,-2.0710663,YSO,7.789590445789442,8.809014341697124e-17,6.655304060975865e-17,7.94682833747053e-16,2.6144681580740483e-16,1.3349274393919202e-14,1.976622894589501e-15,0.987573417882457,,,,at,0.9981471,1.0,,,,,,,,,,,,,18.41,15.777,13.491,,,0.062,11.506,9.518,7.591,0.025,0.021,0.037
2CXO J183005.1-020104,277.5215387,-2.0179279,YSO,9.645018036061352,2.221194165910264e-16,1.94354489517146e-16,1.052132189309542e-15,3.110652579695346e-16,1.96719135133762e-14,2.2456722427045004e-15,0.7239597698079601,,,,cat,0.99904555,1.0,,,,,,,,,,,,,18.27,15.746,12.661,,0.142,0.035,10.888,9.252,7.401,0.013,0.01,0.027
